Survey Year,sample_definition,Variable,Category,Count,Percentage,Missing N,Missing %
2006,full_sample,EDU,不識字/自修,491,0.08165641110926326,0,0
2006,full_sample,EDU,國(初)中,1120,0.18626309662398138,0,0
2006,full_sample,EDU,國小,1767,0.2938632961915849,0,0
2006,full_sample,EDU,專科以上,752,0.12506236487610178,0,0
2006,full_sample,EDU,高中職,1872,0.31132546150008317,0,0
2006,full_sample,EXP_ALCOHOL_EXPENDITURE,"1,000-1,999 元",961,0.16972801130342635,351,0.05837352403126559
2006,full_sample,EXP_ALCOHOL_EXPENDITURE,"10,000-14,999 元",2,3.5323207347227127e-4,351,0.05837352403126559
2006,full_sample,EXP_ALCOHOL_EXPENDITURE,"15,000-19,999 元",3,5.298481102084069e-4,351,0.05837352403126559
2006,full_sample,EXP_ALCOHOL_EXPENDITURE,"2,000-2,999 元",1140,0.20134228187919462,351,0.05837352403126559
2006,full_sample,EXP_ALCOHOL_EXPENDITURE,"20,000-29,999 元",4,7.064641469445425e-4,351,0.05837352403126559
2006,full_sample,EXP_ALCOHOL_EXPENDITURE,"3,000-3,999 元",36,0.006358177322500883,351,0.05837352403126559
2006,full_sample,EXP_ALCOHOL_EXPENDITURE,"4,000-4,999 元",217,0.03832567997174143,351,0.05837352403126559
2006,full_sample,EXP_ALCOHOL_EXPENDITURE,"5,000-6,999 元",132,0.023313316849169905,351,0.05837352403126559
2006,full_sample,EXP_ALCOHOL_EXPENDITURE,"7,000-9,999 元",29,0.005121865065347933,351,0.05837352403126559
2006,full_sample,EXP_ALCOHOL_EXPENDITURE,999元及以下,972,0.17167078770752384,351,0.05837352403126559
2006,full_sample,EXP_ALCOHOL_EXPENDITURE,沒有這項支出,2166,0.3825503355704698,351,0.05837352403126559
2006,full_sample,EXP_CARE_EXPENDITURE,"1,000-1,999元",108,0.01796108431731249,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,"10,000-14,999元",29,0.004822883751870947,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,"15,000-19,999元",7,0.0011641443538998836,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,"2,000-2,999元",84,0.013969732246798603,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,"20,000-29,999元",4,6.652253450856477e-4,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,"3,000-3,999元",178,0.029602527856311324,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,"30,000元及以上，請記錄____元",1,1.6630633627141194e-4,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,"4,000-4,999元",63,0.010477299185098952,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,"5,000-6,999元",34,0.005654415433228006,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,"7,000-9,999元",33,0.005488109096956594,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,999元及以下,115,0.01912522867121237,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,不知道/拒答,71,0.011807749875270248,0,0
2006,full_sample,EXP_CARE_EXPENDITURE,沒有這項支出,5286,0.8790952935306835,0,0
2006,full_sample,EXP_CLEANING_EXPENDITURE,"1,000-1,999元",69,0.011571356699647829,50,0.008315316813570598
2006,full_sample,EXP_CLEANING_EXPENDITURE,"10,000-14,999元",9,0.0015093073956062384,50,0.008315316813570598
2006,full_sample,EXP_CLEANING_EXPENDITURE,"15,000-19,999 元",4,6.70803286936106e-4,50,0.008315316813570598
2006,full_sample,EXP_CLEANING_EXPENDITURE,"2,000-2,999 元",18,0.003018614791212477,50,0.008315316813570598
2006,full_sample,EXP_CLEANING_EXPENDITURE,"20,000-29,999元",2,3.35401643468053e-4,50,0.008315316813570598
2006,full_sample,EXP_CLEANING_EXPENDITURE,"3,000-3,999元",10,0.001677008217340265,50,0.008315316813570598
2006,full_sample,EXP_CLEANING_EXPENDITURE,"30,000元及以上，請記錄 元",1,1.677008217340265e-4,50,0.008315316813570598
2006,full_sample,EXP_CLEANING_EXPENDITURE,"4,000-4,999 元",10,0.001677008217340265,50,0.008315316813570598
2006,full_sample,EXP_CLEANING_EXPENDITURE,"5,000-6,999元",1,1.677008217340265e-4,50,0.008315316813570598
2006,full_sample,EXP_CLEANING_EXPENDITURE,"7,000-9,999 元",11,0.0018447090390742915,50,0.008315316813570598
2006,full_sample,EXP_CLEANING_EXPENDITURE,999元及以下,166,0.0278383364078484,50,0.008315316813570598
2006,full_sample,EXP_CLEANING_EXPENDITURE,沒有這項支出,5662,0.949522052658058,50,0.008315316813570598
2006,full_sample,EXP_CLOTHING_EXPENDITURE,"1,000-1,999元",874,0.14535173790121403,0,0
2006,full_sample,EXP_CLOTHING_EXPENDITURE,"10,000-14,999元",1,1.6630633627141194e-4,0,0
2006,full_sample,EXP_CLOTHING_EXPENDITURE,"15,000-19,999元",3,4.989190088142358e-4,0,0
2006,full_sample,EXP_CLOTHING_EXPENDITURE,"2,000-2,999元",472,0.07849659072010644,0,0
2006,full_sample,EXP_CLOTHING_EXPENDITURE,"3,000-3,999元",406,0.06752037252619325,0,0
2006,full_sample,EXP_CLOTHING_EXPENDITURE,"4,000-4,999元",113,0.01879261599866955,0,0
2006,full_sample,EXP_CLOTHING_EXPENDITURE,"5,000-6,999元",18,0.002993514052885415,0,0
2006,full_sample,EXP_CLOTHING_EXPENDITURE,"7,000-9,999元",38,0.006319640778313654,0,0
2006,full_sample,EXP_CLOTHING_EXPENDITURE,999元及以下,2056,0.34192582737402294,0,0
2006,full_sample,EXP_CLOTHING_EXPENDITURE,不知道/拒答,404,0.06718775985365043,0,0
2006,full_sample,EXP_CLOTHING_EXPENDITURE,沒有這項支出,1628,0.2707467154498586,0,0
2006,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,"1,000-1,999元",506,0.08415100615333444,0,0
2006,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,"10,000-14,999元",59,0.009812073840013305,0,0
2006,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,"15,000-19,999元",27,0.004490271079328123,0,0
2006,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,1e+05,1,1.6630633627141194e-4,0,0
2006,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,"2,000-2,999元",389,0.06469316480957925,0,0
2006,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,"20,000-29,999元",9,0.0014967570264427074,0,0
2006,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,"3,000-3,999元",286,0.047563612173623815,0,0
2006,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,"30,000元及以上，請記錄____元",3,4.989190088142358e-4,0,0
2006,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,34166,1,1.6630633627141194e-4,0,0
2006,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,35000,1,1.6630633627141194e-4,0,0
2006,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,"4,000-4,999元",198,0.03292865458173956,0,0
2006,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,"5,000-6,999元",361,0.06003658739397971,0,0
2006,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,"7,000-9,999元",426,0.07084649925162148,0,0
2006,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,999元及以下,614,0.10211209047064693,0,0
2006,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,不知道/拒答,268,0.0445700981207384,0,0
2006,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,沒有這項支出,2864,0.4763013470813238,0,0
2006,full_sample,EXP_FOOD_EXPENDITURE,"10,000-14,999元",1012,0.1894776259127504,672,0.11175785797438882
