"DATA_Y","CITY","COUNTY","variable","non_missing_n","mean","median","sd","min","max"
2002,"屏東縣","泰武鄉","N_INDI_55_64",0,,,,,
2002,"屏東縣","泰武鄉","N_INDI_65PLUS",0,,,,,
2002,"屏東縣","泰武鄉","N_INDI_7_15",0,,,,,
2002,"屏東縣","泰武鄉","N_INDI_UNDER6",0,,,,,
2002,"屏東縣","滿州鄉","N_FAMILY",70,5.15714285714286,4,3.47511115153572,1,20
2002,"屏東縣","滿州鄉","N_INDI",70,4.01428571428571,3,3.57322108225779,0,20
2002,"屏東縣","滿州鄉","N_INDI_16_54",0,,,,,
2002,"屏東縣","滿州鄉","N_INDI_55PLUS",0,,,,,
2002,"屏東縣","滿州鄉","N_INDI_55_64",0,,,,,
2002,"屏東縣","滿州鄉","N_INDI_65PLUS",0,,,,,
2002,"屏東縣","滿州鄉","N_INDI_7_15",0,,,,,
2002,"屏東縣","滿州鄉","N_INDI_UNDER6",0,,,,,
2002,"屏東縣","潮州鎮","N_FAMILY",52,4.03846153846154,4,1.44115338424578,1,8
2002,"屏東縣","潮州鎮","N_INDI",52,3.67307692307692,4,1.73455259356676,1,8
2002,"屏東縣","潮州鎮","N_INDI_16_54",0,,,,,
2002,"屏東縣","潮州鎮","N_INDI_55PLUS",0,,,,,
2002,"屏東縣","潮州鎮","N_INDI_55_64",0,,,,,
2002,"屏東縣","潮州鎮","N_INDI_65PLUS",0,,,,,
2002,"屏東縣","潮州鎮","N_INDI_7_15",0,,,,,
2002,"屏東縣","潮州鎮","N_INDI_UNDER6",0,,,,,
2002,"屏東縣","牡丹鄉","N_FAMILY",155,4.52258064516129,4,2.09927471665492,1,12
2002,"屏東縣","牡丹鄉","N_INDI",155,4.50322580645161,4,2.0931992339708,1,12
2002,"屏東縣","牡丹鄉","N_INDI_16_54",0,,,,,
2002,"屏東縣","牡丹鄉","N_INDI_55PLUS",0,,,,,
2002,"屏東縣","牡丹鄉","N_INDI_55_64",0,,,,,
2002,"屏東縣","牡丹鄉","N_INDI_65PLUS",0,,,,,
2002,"屏東縣","牡丹鄉","N_INDI_7_15",0,,,,,
2002,"屏東縣","牡丹鄉","N_INDI_UNDER6",0,,,,,
2002,"屏東縣","獅子鄉","N_FAMILY",128,4.625,4,2.41060648427885,1,14
2002,"屏東縣","獅子鄉","N_INDI",128,4.578125,4,2.42561584030209,1,14
2002,"屏東縣","獅子鄉","N_INDI_16_54",0,,,,,
2002,"屏東縣","獅子鄉","N_INDI_55PLUS",0,,,,,
2002,"屏東縣","獅子鄉","N_INDI_55_64",0,,,,,
2002,"屏東縣","獅子鄉","N_INDI_65PLUS",0,,,,,
2002,"屏東縣","獅子鄉","N_INDI_7_15",0,,,,,
2002,"屏東縣","獅子鄉","N_INDI_UNDER6",0,,,,,
2002,"屏東縣","瑪家鄉","N_FAMILY",164,5.01219512195122,5,2.11041183105648,1,12
2002,"屏東縣","瑪家鄉","N_INDI",164,4.92073170731707,5,2.15641362143688,1,12
2002,"屏東縣","瑪家鄉","N_INDI_16_54",0,,,,,
2002,"屏東縣","瑪家鄉","N_INDI_55PLUS",0,,,,,
2002,"屏東縣","瑪家鄉","N_INDI_55_64",0,,,,,
2002,"屏東縣","瑪家鄉","N_INDI_65PLUS",0,,,,,
2002,"屏東縣","瑪家鄉","N_INDI_7_15",0,,,,,
2002,"屏東縣","瑪家鄉","N_INDI_UNDER6",0,,,,,
2002,"屏東縣","萬巒鄉","N_FAMILY",60,6.15,5.5,3.96948103169885,1,25
2002,"屏東縣","萬巒鄉","N_INDI",60,5.38333333333333,5,3.29401957671041,0,14
2002,"屏東縣","萬巒鄉","N_INDI_16_54",0,,,,,
2002,"屏東縣","萬巒鄉","N_INDI_55PLUS",0,,,,,
2002,"屏東縣","萬巒鄉","N_INDI_55_64",0,,,,,
2002,"屏東縣","萬巒鄉","N_INDI_65PLUS",0,,,,,
2002,"屏東縣","萬巒鄉","N_INDI_7_15",0,,,,,
2002,"屏東縣","萬巒鄉","N_INDI_UNDER6",0,,,,,
2002,"屏東縣","霧臺鄉","N_FAMILY",79,4.86075949367089,5,2.39515631530563,1,11
2002,"屏東縣","霧臺鄉","N_INDI",79,4.78481012658228,5,2.43726878496249,0,11
2002,"屏東縣","霧臺鄉","N_INDI_16_54",0,,,,,
2002,"屏東縣","霧臺鄉","N_INDI_55PLUS",0,,,,,
2002,"屏東縣","霧臺鄉","N_INDI_55_64",0,,,,,
2002,"屏東縣","霧臺鄉","N_INDI_65PLUS",0,,,,,
2002,"屏東縣","霧臺鄉","N_INDI_7_15",0,,,,,
2002,"屏東縣","霧臺鄉","N_INDI_UNDER6",0,,,,,
2002,"彰化縣","彰化市","N_FAMILY",52,4.84615384615385,5,1.66137924492727,1,9
2002,"彰化縣","彰化市","N_INDI",52,4.05769230769231,5,1.94445880911163,1,7
2002,"彰化縣","彰化市","N_INDI_16_54",0,,,,,
2002,"彰化縣","彰化市","N_INDI_55PLUS",0,,,,,
2002,"彰化縣","彰化市","N_INDI_55_64",0,,,,,
2002,"彰化縣","彰化市","N_INDI_65PLUS",0,,,,,
2002,"彰化縣","彰化市","N_INDI_7_15",0,,,,,
2002,"彰化縣","彰化市","N_INDI_UNDER6",0,,,,,
2002,"新竹市","未知地區","N_FAMILY",53,5.35849056603774,5,2.28788060829098,1,12
2002,"新竹市","未知地區","N_INDI",53,3.66037735849057,4,2.04698085581983,1,9
2002,"新竹市","未知地區","N_INDI_16_54",0,,,,,
2002,"新竹市","未知地區","N_INDI_55PLUS",0,,,,,
2002,"新竹市","未知地區","N_INDI_55_64",0,,,,,
2002,"新竹市","未知地區","N_INDI_65PLUS",0,,,,,
2002,"新竹市","未知地區","N_INDI_7_15",0,,,,,
2002,"新竹市","未知地區","N_INDI_UNDER6",0,,,,,
2002,"新竹縣","五峰鄉","N_FAMILY",138,5.34057971014493,5,2.98780093145589,1,16
2002,"新竹縣","五峰鄉","N_INDI",138,5.00724637681159,5,3.08160631354852,0,16
2002,"新竹縣","五峰鄉","N_INDI_16_54",0,,,,,
2002,"新竹縣","五峰鄉","N_INDI_55PLUS",0,,,,,
2002,"新竹縣","五峰鄉","N_INDI_55_64",0,,,,,
2002,"新竹縣","五峰鄉","N_INDI_65PLUS",0,,,,,
2002,"新竹縣","五峰鄉","N_INDI_7_15",0,,,,,
2002,"新竹縣","五峰鄉","N_INDI_UNDER6",0,,,,,
2002,"新竹縣","尖石鄉","N_FAMILY",194,5.38144329896907,5,2.65432797021247,1,20
2002,"新竹縣","尖石鄉","N_INDI",194,5.04639175257732,5,2.4479900544885,0,16
2002,"新竹縣","尖石鄉","N_INDI_16_54",0,,,,,
2002,"新竹縣","尖石鄉","N_INDI_55PLUS",0,,,,,
2002,"新竹縣","尖石鄉","N_INDI_55_64",0,,,,,
2002,"新竹縣","尖石鄉","N_INDI_65PLUS",0,,,,,
2002,"新竹縣","尖石鄉","N_INDI_7_15",0,,,,,
2002,"新竹縣","尖石鄉","N_INDI_UNDER6",0,,,,,
2002,"新竹縣","新埔鎮芎林鄉橫山鄉","N_FAMILY",52,4.90384615384615,5,2.06994946783652,1,10
2002,"新竹縣","新埔鎮芎林鄉橫山鄉","N_INDI",52,3.90384615384615,4,2.29457685777998,1,10
