variable,103_present,106_present,106-_present,91-1_label,91-1_type,91-1_present,91-2_label,91-2_type,91-2_present,95_present,99_present,95_label,95_type,103_label,103_type,106_label,106_type,106-_label,106-_type,99_label,99_type,years_count
k3_2,0,1,1,,,0,,,0,0,0,,,,,K3.除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎(複選)?投資二,haven_labelled,K3.除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎(複選)?投資二,haven_labelled,,,2
k1_4_d,0,1,1,,,0,,,0,0,0,,,,,K1.經濟戶長目前有從事以下哪些投資嗎(複選)?投資四,haven_labelled,K1.經濟戶長目前有從事以下哪些投資嗎(複選)?投資四,haven_labelled,,,2
l2_3_7,1,0,0,,,0,,,0,0,1,,,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目七,haven_labelled,,,,,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,haven_labelled,2
k2_o,0,1,1,,,0,,,0,0,0,,,,,"K2.經濟戶長每個月可以儲蓄(存錢)的金額是多少?(13)100,000元以上，請記錄__元",numeric,"K2.經濟戶長每個月可以儲蓄(存錢)的金額是多少?(13)100,000元以上，請記錄__元",numeric,,,2
k3_3,0,1,1,,,0,,,0,0,0,,,,,K3.除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎(複選)?投資三,haven_labelled,K3.除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎(複選)?投資三,haven_labelled,,,2
k3_4,0,1,1,,,0,,,0,0,0,,,,,K3.除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎(複選)?投資四,haven_labelled,K3.除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎(複選)?投資四,haven_labelled,,,2
k3_5,0,1,1,,,0,,,0,0,0,,,,,K3.除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎(複選)?投資五,haven_labelled,K3.除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎(複選)?投資五,haven_labelled,,,2
k3_6,0,1,1,,,0,,,0,0,0,,,,,K3.除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎(複選)?投資六,haven_labelled,K3.除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎(複選)?投資六,haven_labelled,,,2
k1_o,0,1,1,,,0,,,0,0,0,,,,,K1.經濟戶長目前有從事以下哪些投資嗎(複選)?(11)其他，請說明__,character,K1.經濟戶長目前有從事以下哪些投資嗎(複選)?(11)其他，請說明__,character,,,2
k3_7,0,1,1,,,0,,,0,0,0,,,,,K3.除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎(複選)?投資七,haven_labelled,K3.除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎(複選)?投資七,haven_labelled,,,2
l7o,0,1,1,,,0,,,0,0,0,,,,,"L7.包含經濟戶長本人，全家每個月的「房屋、土地出租租金」收入總共是多少?(12)80,000元以",numeric,"L7.包含經濟戶長本人，全家每個月的「房屋、土地出租租金」收入總共是多少?(12)80,000元以",numeric,,,2
k3_o,0,1,1,,,0,,,0,0,0,,,,,K3.除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎(複選)?(11)其他，請說明,character,K3.除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎(複選)?(11)其他，請說明,character,,,2
k1_7_g,0,1,1,,,0,,,0,0,0,,,,,K1.經濟戶長目前有從事以下哪些投資嗎(複選)?投資七,haven_labelled,K1.經濟戶長目前有從事以下哪些投資嗎(複選)?投資七,haven_labelled,,,2
l10,0,1,1,,,0,,,0,0,0,,,,,L10.家中有戶籍不在這裡，也沒有居住在這裡，但每個月或定期會提供家裡金錢的家人有幾位,numeric,L10.家中有戶籍不在這裡，也沒有居住在這裡，但每個月或定期會提供家裡金錢的家人有幾位,numeric,,,2
l11,0,1,1,,,0,,,0,0,0,,,,,L11.這幾位家人平均每個月提供的總金額大約多少錢?__元,numeric,L11.這幾位家人平均每個月提供的總金額大約多少錢?__元,numeric,,,2
l2_1,1,0,0,,,0,,,0,0,1,,,L2-1.請問您個人或您的家人未來有沒有申請「原民會專案貸款」的需求?,haven_labelled,,,,,L2-1.請問您個人或您的家人有沒有申請「原住民綜合發展基金貸款」？,haven_labelled,2
l2_2_1,1,0,0,,,0,,,0,0,1,,,L2-2.請問您或您的家人未來沒有申請「原民會專案貸款」需求的原因有哪些?(可複選)原因一,haven_labelled,,,,,L2-2.請問您或您的家人沒有申請「原住民綜合發展基金貸款」的原因有哪些？(可複選),haven_labelled,2
l2_2_2,1,0,0,,,0,,,0,0,1,,,L2-2.請問您或您的家人未來沒有申請「原民會專案貸款」需求的原因有哪些?(可複選)原因二,haven_labelled,,,,,L2-2.請問您或您的家人沒有申請「原住民綜合發展基金貸款」的原因有哪些？(可複選),haven_labelled,2
l2_2_3,1,0,0,,,0,,,0,0,1,,,L2-2.請問您或您的家人未來沒有申請「原民會專案貸款」需求的原因有哪些?(可複選)原因三,haven_labelled,,,,,L2-2.請問您或您的家人沒有申請「原住民綜合發展基金貸款」的原因有哪些？(可複選),haven_labelled,2
l2_2_4,1,0,0,,,0,,,0,0,1,,,L2-2.請問您或您的家人未來沒有申請「原民會專案貸款」需求的原因有哪些?(可複選)原因四,haven_labelled,,,,,L2-2.請問您或您的家人沒有申請「原住民綜合發展基金貸款」的原因有哪些？(可複選),haven_labelled,2
k1_6_f,0,1,1,,,0,,,0,0,0,,,,,K1.經濟戶長目前有從事以下哪些投資嗎(複選)?投資六,haven_labelled,K1.經濟戶長目前有從事以下哪些投資嗎(複選)?投資六,haven_labelled,,,2
q13,0,0,0,13.請問您家中有幾部冷(暖)氣機?,haven_labelled,1,13.請問您家中有幾部冷(暖)氣機?,haven_labelled,1,0,0,,,,,,,,,,,2
l2_3_1,1,0,0,,,0,,,0,0,1,,,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目一,haven_labelled,,,,,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,haven_labelled,2
l2_3_10,1,0,0,,,0,,,0,0,1,,,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目十,haven_labelled,,,,,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,haven_labelled,2
l2_3_2,1,0,0,,,0,,,0,0,1,,,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目二,haven_labelled,,,,,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,haven_labelled,2
k1_5_e,0,1,1,,,0,,,0,0,0,,,,,K1.經濟戶長目前有從事以下哪些投資嗎(複選)?投資五,haven_labelled,K1.經濟戶長目前有從事以下哪些投資嗎(複選)?投資五,haven_labelled,,,2
l2_3_3,1,0,0,,,0,,,0,0,1,,,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目三,haven_labelled,,,,,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,haven_labelled,2
k1_5,1,0,0,,,0,,,0,0,1,,,K1.請問您個人目前有從事以下哪些投資嗎?(可複選)投資五,haven_labelled,,,,,K1.請問您個人目前有從事以下哪些投資嗎？(可複選),haven_labelled,2
l2_3_4,1,0,0,,,0,,,0,0,1,,,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目四,haven_labelled,,,,,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,haven_labelled,2
l2_3_5,1,0,0,,,0,,,0,0,1,,,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目五,haven_labelled,,,,,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,haven_labelled,2
k3_1,0,1,1,,,0,,,0,0,0,,,,,K3.除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎(複選)?投資一,haven_labelled,K3.除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎(複選)?投資一,haven_labelled,,,2
l2_3_6,1,0,0,,,0,,,0,0,1,,,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目六,haven_labelled,,,,,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,haven_labelled,2
l7,0,1,1,,,0,,,0,0,0,,,,,L7.包含經濟戶長本人，全家每個月的「房屋、土地出租租金」收入總共是多少?【過去一年平,haven_labelled,L7.包含經濟戶長本人，全家每個月的「房屋、土地出租租金」收入總共是多少?【過去一年平,haven_labelled,,,2
m6,0,1,1,,,0,,,0,0,0,,,,,M6.您全家每個月用在支付「繳各種稅、勞健保、農漁保險、買彩券、紅白包禮金、捐款」的,haven_labelled,M6.您全家每個月用在支付「繳各種稅、勞健保、農漁保險、買彩券、紅白包禮金、捐款」的,haven_labelled,,,2
l8,0,1,1,,,0,,,0,0,0,,,,,L8.包含經濟戶長本人，全家每個月除了以上這些收入以外的「其他雜項」收入總共是多少?【,haven_labelled,L8.包含經濟戶長本人，全家每個月除了以上這些收入以外的「其他雜項」收入總共是多少?【,haven_labelled,,,2
l8o,0,1,1,,,0,,,0,0,0,,,,,L8.包含經濟戶長本人，全家每個月除了以上這些收入以外的「其他雜項」收入總共是多少?(12,numeric,L8.包含經濟戶長本人，全家每個月除了以上這些收入以外的「其他雜項」收入總共是多少?(12,numeric,,,2
n2_5_8,0,1,1,,,0,,,0,0,0,,,,,N2-5.您希望申請「原住民族綜合發展基金貸款」用途有哪些(複選)?用途八,haven_labelled,N2-5.您希望申請「原住民族綜合發展基金貸款」用途有哪些(複選)?用途八,haven_labelled,,,2
n2_5_7,0,1,1,,,0,,,0,0,0,,,,,N2-5.您希望申請「原住民族綜合發展基金貸款」用途有哪些(複選)?用途七,haven_labelled,N2-5.您希望申請「原住民族綜合發展基金貸款」用途有哪些(複選)?用途七,haven_labelled,,,2
n2_5_6,0,1,1,,,0,,,0,0,0,,,,,N2-5.您希望申請「原住民族綜合發展基金貸款」用途有哪些(複選)?用途六,haven_labelled,N2-5.您希望申請「原住民族綜合發展基金貸款」用途有哪些(複選)?用途六,haven_labelled,,,2
n2_5_5,0,1,1,,,0,,,0,0,0,,,,,N2-5.您希望申請「原住民族綜合發展基金貸款」用途有哪些(複選)?用途五,haven_labelled,N2-5.您希望申請「原住民族綜合發展基金貸款」用途有哪些(複選)?用途五,haven_labelled,,,2
n2_5_4,0,1,1,,,0,,,0,0,0,,,,,N2-5.您希望申請「原住民族綜合發展基金貸款」用途有哪些(複選)?用途四,haven_labelled,N2-5.您希望申請「原住民族綜合發展基金貸款」用途有哪些(複選)?用途四,haven_labelled,,,2
n2_5_3,0,1,1,,,0,,,0,0,0,,,,,N2-5.您希望申請「原住民族綜合發展基金貸款」用途有哪些(複選)?用途三,haven_labelled,N2-5.您希望申請「原住民族綜合發展基金貸款」用途有哪些(複選)?用途三,haven_labelled,,,2
n2_5_2,0,1,1,,,0,,,0,0,0,,,,,N2-5.您希望申請「原住民族綜合發展基金貸款」用途有哪些(複選)?用途二,haven_labelled,N2-5.您希望申請「原住民族綜合發展基金貸款」用途有哪些(複選)?用途二,haven_labelled,,,2
n2_5_1,0,1,1,,,0,,,0,0,0,,,,,N2-5.您希望申請「原住民族綜合發展基金貸款」用途有哪些(複選)?用途一,haven_labelled,N2-5.您希望申請「原住民族綜合發展基金貸款」用途有哪些(複選)?用途一,haven_labelled,,,2
n2_4o,0,1,1,,,0,,,0,0,0,,,,,N2-4.您或您的家人未來沒有申請「原住民族綜合發展基金貸款」需求的原因有哪些(複選)?(7),character,N2-4.您或您的家人未來沒有申請「原住民族綜合發展基金貸款」需求的原因有哪些(複選)?(7),character,,,2
n2_4_4,0,1,1,,,0,,,0,0,0,,,,,N2-4.您或您的家人未來沒有申請「原住民族綜合發展基金貸款」需求的原因有哪些(複選)?原,haven_labelled,N2-4.您或您的家人未來沒有申請「原住民族綜合發展基金貸款」需求的原因有哪些(複選)?原,haven_labelled,,,2
n2_4_3,0,1,1,,,0,,,0,0,0,,,,,N2-4.您或您的家人未來沒有申請「原住民族綜合發展基金貸款」需求的原因有哪些(複選)?原,haven_labelled,N2-4.您或您的家人未來沒有申請「原住民族綜合發展基金貸款」需求的原因有哪些(複選)?原,haven_labelled,,,2
n2_4_2,0,1,1,,,0,,,0,0,0,,,,,N2-4.您或您的家人未來沒有申請「原住民族綜合發展基金貸款」需求的原因有哪些(複選)?原,haven_labelled,N2-4.您或您的家人未來沒有申請「原住民族綜合發展基金貸款」需求的原因有哪些(複選)?原,haven_labelled,,,2
n2_4_1,0,1,1,,,0,,,0,0,0,,,,,N2-4.您或您的家人未來沒有申請「原住民族綜合發展基金貸款」需求的原因有哪些(複選)?原,haven_labelled,N2-4.您或您的家人未來沒有申請「原住民族綜合發展基金貸款」需求的原因有哪些(複選)?原,haven_labelled,,,2
n2_3,0,1,1,,,0,,,0,0,0,,,,,N2-3.您個人或您的家人未來有沒有申請「原住民族綜合發展基金貸款」的需求?,haven_labelled,N2-3.您個人或您的家人未來有沒有申請「原住民族綜合發展基金貸款」的需求?,haven_labelled,,,2
n2_2,0,1,1,,,0,,,0,0,0,,,,,N2-2.您個人或您家人申請「原住民族綜合發展基金貸款」金額，占您全家貸款的比例為__%,numeric,N2-2.您個人或您家人申請「原住民族綜合發展基金貸款」金額，占您全家貸款的比例為__%,numeric,,,2
n2_1,0,1,1,,,0,,,0,0,0,,,,,N2-1.您個人或您的家人有沒有申請「原住民族綜合發展基金貸款」?,haven_labelled,N2-1.您個人或您的家人有沒有申請「原住民族綜合發展基金貸款」?,haven_labelled,,,2
n1o,0,1,1,,,0,,,0,0,0,,,,,N1.您或您的家人最需要政府提供什麼幫忙?(6)其他，請說明__,character,N1.您或您的家人最需要政府提供什麼幫忙?(6)其他，請說明__,character,,,2
n2_5o,0,1,1,,,0,,,0,0,0,,,,,N2-5.您希望申請「原住民族綜合發展基金貸款」用途有哪些(複選)?(14)其他(請說明),character,N2-5.您希望申請「原住民族綜合發展基金貸款」用途有哪些(複選)?(14)其他(請說明),character,,,2
n2_6_1,0,1,1,,,0,,,0,0,0,,,,,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?資訊一,haven_labelled,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?資訊一,haven_labelled,,,2
n2_6_10,0,1,1,,,0,,,0,0,0,,,,,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?資訊十,haven_labelled,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?資訊十,haven_labelled,,,2
n2_6o,0,1,1,,,0,,,0,0,0,,,,,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?(12)其他，請說明__,character,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?(12)其他，請說明__,character,,,2
o2,0,1,1,,,0,,,0,0,0,,,,,O2.您家裡有沒有連上網際網路?,haven_labelled,O2.您家裡有沒有連上網際網路?,haven_labelled,,,2
o1o,0,1,1,,,0,,,0,0,0,,,,,O1.您家中現在有哪些可上網設備(複選)?(5)其他(請說明),character,O1.您家中現在有哪些可上網設備(複選)?(5)其他(請說明),character,,,2
o1_5,0,1,1,,,0,,,0,0,0,,,,,O1.您家中現在有哪些可上網設備(複選)?設備五,haven_labelled,O1.您家中現在有哪些可上網設備(複選)?設備五,haven_labelled,,,2
o1_4,0,1,1,,,0,,,0,0,0,,,,,O1.您家中現在有哪些可上網設備(複選)?設備四,haven_labelled,O1.您家中現在有哪些可上網設備(複選)?設備四,haven_labelled,,,2
o1_3,0,1,1,,,0,,,0,0,0,,,,,O1.您家中現在有哪些可上網設備(複選)?設備三,haven_labelled,O1.您家中現在有哪些可上網設備(複選)?設備三,haven_labelled,,,2
o1_2,0,1,1,,,0,,,0,0,0,,,,,O1.您家中現在有哪些可上網設備(複選)?設備二,haven_labelled,O1.您家中現在有哪些可上網設備(複選)?設備二,haven_labelled,,,2
o1_1,0,1,1,,,0,,,0,0,0,,,,,O1.您家中現在有哪些可上網設備(複選)?設備一,haven_labelled,O1.您家中現在有哪些可上網設備(複選)?設備一,haven_labelled,,,2
n2_6_9,0,1,1,,,0,,,0,0,0,,,,,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?資訊九,haven_labelled,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?資訊九,haven_labelled,,,2
n2_6_11,0,1,1,,,0,,,0,0,0,,,,,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?資訊十一,haven_labelled,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?資訊十一,haven_labelled,,,2
n2_6_8,0,1,1,,,0,,,0,0,0,,,,,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?資訊八,haven_labelled,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?資訊八,haven_labelled,,,2
n2_6_7,0,1,1,,,0,,,0,0,0,,,,,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?資訊七,haven_labelled,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?資訊七,haven_labelled,,,2
n2_6_6,0,1,1,,,0,,,0,0,0,,,,,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?資訊六,haven_labelled,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?資訊六,haven_labelled,,,2
n2_6_5,0,1,1,,,0,,,0,0,0,,,,,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?資訊五,haven_labelled,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?資訊五,haven_labelled,,,2
n2_6_4,0,1,1,,,0,,,0,0,0,,,,,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?資訊四,haven_labelled,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?資訊四,haven_labelled,,,2
n2_6_3,0,1,1,,,0,,,0,0,0,,,,,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?資訊三,haven_labelled,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?資訊三,haven_labelled,,,2
n2_6_2,0,1,1,,,0,,,0,0,0,,,,,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?資訊二,haven_labelled,N2-6.您希望從哪裡知道「原住民族綜合發展基金貸款」的資訊(複選)?資訊二,haven_labelled,,,2
m7_9_2o,0,1,1,,,0,,,0,0,0,,,,,"M7-9.您家庭過去一年平均每個月支出金額：保姆費/安養院/身障者照顧(11)30,000元以上，請記",numeric,"M7-9.您家庭過去一年平均每個月支出金額：保姆費/安養院/身障者照顧(11)30,000元以上，請記",numeric,,,2
m7_9_2,0,1,1,,,0,,,0,0,0,,,,,M7-9.您家庭過去一年平均每個月支出金額：保姆費/安養院/身障者照顧,haven_labelled,M7-9.您家庭過去一年平均每個月支出金額：保姆費/安養院/身障者照顧,haven_labelled,,,2
m7_9_1,0,1,1,,,0,,,0,0,0,,,,,M7-9.您家庭過去一年有沒有以下支出(複選)?保姆費/安養院/身障者照顧,haven_labelled,M7-9.您家庭過去一年有沒有以下支出(複選)?保姆費/安養院/身障者照顧,haven_labelled,,,2
m6o,0,1,1,,,0,,,0,0,0,,,,,M6.您全家每個月用在支付「繳各種稅、勞健保、農漁保險、買彩券、紅白包禮金、捐款」的,numeric,M6.您全家每個月用在支付「繳各種稅、勞健保、農漁保險、買彩券、紅白包禮金、捐款」的,numeric,,,2
m7_1_2o,0,1,1,,,0,,,0,0,0,,,,,"M7-1.您家庭過去一年平均每個月支出金額：請家庭佣人(打掃家庭/洗衣洗碗)(11)30,000元以上，",numeric,"M7-1.您家庭過去一年平均每個月支出金額：請家庭佣人(打掃家庭/洗衣洗碗)(11)30,000元以上，",numeric,,,2
m7_1_2,0,1,1,,,0,,,0,0,0,,,,,M7-1.您家庭過去一年平均每個月支出金額：請家庭佣人(打掃家庭/洗衣洗碗),haven_labelled,M7-1.您家庭過去一年平均每個月支出金額：請家庭佣人(打掃家庭/洗衣洗碗),haven_labelled,,,2
m7_1_1,0,1,1,,,0,,,0,0,0,,,,,M7-1.您家庭過去一年有沒有以下支出(複選)?請家庭佣人(打掃家庭/洗衣洗碗),haven_labelled,M7-1.您家庭過去一年有沒有以下支出(複選)?請家庭佣人(打掃家庭/洗衣洗碗),haven_labelled,,,2
m7_11,0,1,1,,,0,,,0,0,0,,,,,M7-11.您家庭過去一年有沒有以下支出(複選)?以上都沒有,haven_labelled,M7-11.您家庭過去一年有沒有以下支出(複選)?以上都沒有,haven_labelled,,,2
m7_10_2o,0,1,1,,,0,,,0,0,0,,,,,"M7-10.您家庭過去一年平均每個月支出金額：其他費用(11)30,000元以上，請記錄__元",numeric,"M7-10.您家庭過去一年平均每個月支出金額：其他費用(11)30,000元以上，請記錄__元",numeric,,,2
m7_10_2,0,1,1,,,0,,,0,0,0,,,,,M7-10.您家庭過去一年平均每個月支出金額：其他費用,haven_labelled,M7-10.您家庭過去一年平均每個月支出金額：其他費用,haven_labelled,,,2
m7_10_1,0,1,1,,,0,,,0,0,0,,,,,M7-10.您家庭過去一年有沒有以下支出(複選)?其他費用,haven_labelled,M7-10.您家庭過去一年有沒有以下支出(複選)?其他費用,haven_labelled,,,2
j7_4_2,1,0,0,,,0,,,0,0,1,,,J7-4.「國內外跟團旅遊/運動娛樂消遣」支出金額,haven_labelled,,,,,J7_4.平均每個月支出金額,haven_labelled,2
m7_2_2,0,1,1,,,0,,,0,0,0,,,,,M7-2.您家庭過去一年平均每個月支出金額：各項學費/補習費/家教費,haven_labelled,M7-2.您家庭過去一年平均每個月支出金額：各項學費/補習費/家教費,haven_labelled,,,2
m5o,0,1,1,,,0,,,0,0,0,,,,,"M5.您全家每個月用在支付「抽煙、飲酒、吃檳榔等」的費用是多少?(12)30,000元以上，請記錄__",numeric,"M5.您全家每個月用在支付「抽煙、飲酒、吃檳榔等」的費用是多少?(12)30,000元以上，請記錄__",numeric,,,2
m5,0,1,1,,,0,,,0,0,0,,,,,M5.您全家每個月用在支付「抽煙、飲酒、吃檳榔等」的費用是多少?【過去一年平均每個月的,haven_labelled,M5.您全家每個月用在支付「抽煙、飲酒、吃檳榔等」的費用是多少?【過去一年平均每個月的,haven_labelled,,,2
m4o,0,1,1,,,0,,,0,0,0,,,,,M4.您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是多少,numeric,M4.您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是多少,numeric,,,2
m3o,0,1,1,,,0,,,0,0,0,,,,,M3.您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機車保,numeric,M3.您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機車保,numeric,,,2
m2o,0,1,1,,,0,,,0,0,0,,,,,M2.您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的費用是多少?(15)70,numeric,M2.您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的費用是多少?(15)70,numeric,,,2
m1o,0,1,1,,,0,,,0,0,0,,,,,M1.您全家每個月用在支付「買米/肉/菜、水果、非酒精飲料費、糖果零食等」的費用是多少?(,numeric,M1.您全家每個月用在支付「買米/肉/菜、水果、非酒精飲料費、糖果零食等」的費用是多少?(,numeric,,,2
l9,0,1,1,,,0,,,0,0,0,,,,,L9.家中有沒有戶籍不在這裡，也沒有居住在這裡，但每個月或定期會提供家裡金錢的家人?,haven_labelled,L9.家中有沒有戶籍不在這裡，也沒有居住在這裡，但每個月或定期會提供家裡金錢的家人?,haven_labelled,,,2
m7_2_1,0,1,1,,,0,,,0,0,0,,,,,M7-2.您家庭過去一年有沒有以下支出(複選)?各項學費/補習費/家教費,haven_labelled,M7-2.您家庭過去一年有沒有以下支出(複選)?各項學費/補習費/家教費,haven_labelled,,,2
m7_2_2o,0,1,1,,,0,,,0,0,0,,,,,"M7-2.您家庭過去一年平均每個月支出金額：各項學費/補習費/家教費(11)30,000元以上，請記錄__",numeric,"M7-2.您家庭過去一年平均每個月支出金額：各項學費/補習費/家教費(11)30,000元以上，請記錄__",numeric,,,2
m7_8_2o,0,1,1,,,0,,,0,0,0,,,,,"M7-8.您家庭過去一年平均每個月支出金額：買家具/家庭電器/廚房用具(11)30,000元以上，請記",numeric,"M7-8.您家庭過去一年平均每個月支出金額：買家具/家庭電器/廚房用具(11)30,000元以上，請記",numeric,,,2
m7_6_1,0,1,1,,,0,,,0,0,0,,,,,M7-6.您家庭過去一年有沒有以下支出(複選)?外食費/學生住宿費/自助旅行住宿服務費,haven_labelled,M7-6.您家庭過去一年有沒有以下支出(複選)?外食費/學生住宿費/自助旅行住宿服務費,haven_labelled,,,2
m7_8_2,0,1,1,,,0,,,0,0,0,,,,,M7-8.您家庭過去一年平均每個月支出金額：買家具/家庭電器/廚房用具,haven_labelled,M7-8.您家庭過去一年平均每個月支出金額：買家具/家庭電器/廚房用具,haven_labelled,,,2
m7_8_1,0,1,1,,,0,,,0,0,0,,,,,M7-8.您家庭過去一年有沒有以下支出(複選)?買家具/家庭電器/廚房用具,haven_labelled,M7-8.您家庭過去一年有沒有以下支出(複選)?買家具/家庭電器/廚房用具,haven_labelled,,,2
m7_7_2o,0,1,1,,,0,,,0,0,0,,,,,"M7-7.您家庭過去一年平均每個月支出金額：買衣服/鞋子/襪子各項衣物(11)30,000元以上，請記",numeric,"M7-7.您家庭過去一年平均每個月支出金額：買衣服/鞋子/襪子各項衣物(11)30,000元以上，請記",numeric,,,2
m7_7_2,0,1,1,,,0,,,0,0,0,,,,,M7-7.您家庭過去一年平均每個月支出金額：買衣服/鞋子/襪子各項衣物,haven_labelled,M7-7.您家庭過去一年平均每個月支出金額：買衣服/鞋子/襪子各項衣物,haven_labelled,,,2
m7_7_1,0,1,1,,,0,,,0,0,0,,,,,M7-7.您家庭過去一年有沒有以下支出(複選)?買衣服/鞋子/襪子各項衣物,haven_labelled,M7-7.您家庭過去一年有沒有以下支出(複選)?買衣服/鞋子/襪子各項衣物,haven_labelled,,,2
m7_6_2o,0,1,1,,,0,,,0,0,0,,,,,"M7-6.您家庭過去一年平均每個月支出金額：外食費/學生住宿費/自助旅行住宿服務費(11)30,000",numeric,"M7-6.您家庭過去一年平均每個月支出金額：外食費/學生住宿費/自助旅行住宿服務費(11)30,000",numeric,,,2
m7_6_2,0,1,1,,,0,,,0,0,0,,,,,M7-6.您家庭過去一年平均每個月支出金額：外食費/學生住宿費/自助旅行住宿服務費,haven_labelled,M7-6.您家庭過去一年平均每個月支出金額：外食費/學生住宿費/自助旅行住宿服務費,haven_labelled,,,2
m7_5_2o,0,1,1,,,0,,,0,0,0,,,,,"M7-5.您家庭過去一年平均每個月支出金額：各項貸款/跟會的利息(11)30,000元以上，請記錄__元",numeric,"M7-5.您家庭過去一年平均每個月支出金額：各項貸款/跟會的利息(11)30,000元以上，請記錄__元",numeric,,,2
m7_3_1,0,1,1,,,0,,,0,0,0,,,,,M7-3.您家庭過去一年有沒有以下支出(複選)?報紙雜誌書籍文具,haven_labelled,M7-3.您家庭過去一年有沒有以下支出(複選)?報紙雜誌書籍文具,haven_labelled,,,2
m7_5_2,0,1,1,,,0,,,0,0,0,,,,,M7-5.您家庭過去一年平均每個月支出金額：各項貸款/跟會的利息,haven_labelled,M7-5.您家庭過去一年平均每個月支出金額：各項貸款/跟會的利息,haven_labelled,,,2
