variable,91_1,91_2,95,99,103,106,110,years_present,count
q22c,Y,Y,N,N,N,N,N,"91_1,91_2",2
q23,Y,Y,N,N,N,N,N,"91_1,91_2",2
m5,N,N,N,N,N,Y,N,106,1
m7_7_1,N,N,N,N,N,Y,N,106,1
m4o,N,N,N,N,N,Y,N,106,1
m7_7_2,N,N,N,N,N,Y,N,106,1
m7_6_2o,N,N,N,N,N,Y,N,106,1
m7_4_2o,N,N,N,N,N,Y,N,106,1
m7_4_2,N,N,N,N,N,Y,N,106,1
m7_8_1,N,N,N,N,N,Y,N,106,1
m7_7_2o,N,N,N,N,N,Y,N,106,1
m7_1_1,N,N,N,N,N,Y,N,106,1
m7_4_1,N,N,N,N,N,Y,N,106,1
m7_6_2,N,N,N,N,N,Y,N,106,1
m7_1_2,N,N,N,N,N,Y,N,106,1
m7_1_2o,N,N,N,N,N,Y,N,106,1
m7_2_1,N,N,N,N,N,Y,N,106,1
m7_2_2,N,N,N,N,N,Y,N,106,1
m7_5_1,N,N,N,N,N,Y,N,106,1
m7_10_2o,N,N,N,N,N,Y,N,106,1
m7_10_2,N,N,N,N,N,Y,N,106,1
m7_2_2o,N,N,N,N,N,Y,N,106,1
m7_3_1,N,N,N,N,N,Y,N,106,1
m7_10_1,N,N,N,N,N,Y,N,106,1
m6o,N,N,N,N,N,Y,N,106,1
m7_3_2,N,N,N,N,N,Y,N,106,1
m6,N,N,N,N,N,Y,N,106,1
m5o,N,N,N,N,N,Y,N,106,1
m7_3_2o,N,N,N,N,N,Y,N,106,1
m7_11,N,N,N,N,N,Y,N,106,1
m7_5_2,N,N,N,N,N,Y,N,106,1
m7_5_2o,N,N,N,N,N,Y,N,106,1
m7_6_1,N,N,N,N,N,Y,N,106,1
a1,N,N,N,N,N,N,Y,110,1
l2_4_6,N,N,N,N,Y,N,N,103,1
m3o,N,N,N,N,N,Y,N,106,1
l2_4_8,N,N,N,N,Y,N,N,103,1
m7_8_2o,N,N,N,N,N,Y,N,106,1
l2_4_5,N,N,N,N,Y,N,N,103,1
l2_4_4,N,N,N,N,Y,N,N,103,1
l2_4_3,N,N,N,N,Y,N,N,103,1
l2_4_2,N,N,N,N,Y,N,N,103,1
l2_4_12,N,N,N,N,Y,N,N,103,1
l2_4_11,N,N,N,N,Y,N,N,103,1
l2_4_10,N,N,N,N,Y,N,N,103,1
l2_4_1,N,N,N,N,Y,N,N,103,1
l2_3o,N,N,N,N,Y,N,N,103,1
l2_3_12,N,N,N,Y,N,N,N,99,1
l2_3_11,N,N,N,Y,N,N,N,99,1
l2_2o,N,N,N,N,Y,N,N,103,1
l2_2_8,N,N,N,Y,N,N,N,99,1
l2_2_7,N,N,N,Y,N,N,N,99,1
l2_2_6,N,N,N,Y,N,N,N,99,1
l2_2_5,N,N,N,Y,N,N,N,99,1
l2_2,N,N,N,N,N,N,Y,110,1
l1_4,N,N,N,N,N,N,Y,110,1
l1_3,N,N,N,N,N,N,Y,110,1
l1_2m,N,N,N,N,N,N,Y,110,1
l1_2,N,N,N,N,N,N,Y,110,1
l1_1m,N,N,N,N,N,N,Y,110,1
l11,N,N,N,N,N,Y,N,106,1
l10,N,N,N,N,N,Y,N,106,1
l2_4_7,N,N,N,N,Y,N,N,103,1
l2_4_9,N,N,N,N,Y,N,N,103,1
m2o,N,N,N,N,N,Y,N,106,1
l2_4o,N,N,N,N,Y,N,N,103,1
m1o,N,N,N,N,N,Y,N,106,1
m1_4,N,N,N,N,Y,N,N,103,1
m1_3,N,N,N,N,Y,N,N,103,1
m1_2,N,N,N,N,Y,N,N,103,1
m1_1,N,N,N,N,Y,N,N,103,1
low,N,N,Y,N,N,N,N,95,1
l9,N,N,N,N,N,Y,N,106,1
l8o,N,N,N,N,N,Y,N,106,1
l8,N,N,N,N,N,Y,N,106,1
l7o,N,N,N,N,N,Y,N,106,1
l7,N,N,N,N,N,Y,N,106,1
l6o,N,N,N,N,N,Y,N,106,1
l6,N,N,N,N,N,Y,N,106,1
l5o,N,N,N,N,N,Y,N,106,1
l5,N,N,N,N,N,Y,N,106,1
l4o,N,N,N,N,N,Y,N,106,1
l3o,N,N,N,N,N,Y,N,106,1
l3_6,N,N,N,Y,N,N,N,99,1
l3_5,N,N,N,Y,N,N,N,99,1
l3_4,N,N,N,Y,N,N,N,99,1
l3_3,N,N,N,Y,N,N,N,99,1
l35,N,N,N,N,N,N,Y,110,1
l33,N,N,N,N,N,N,Y,110,1
l3,N,N,N,N,N,Y,N,106,1
l2o,N,N,N,N,N,Y,N,106,1
m7_8_2,N,N,N,N,N,Y,N,106,1
n5,N,N,N,N,Y,N,N,103,1
m7_9_1,N,N,N,N,N,Y,N,106,1
q5_2,N,N,Y,N,N,N,N,95,1
q171,N,N,Y,N,N,N,N,95,1
q17_1,N,N,Y,N,N,N,N,95,1
q17_2,N,N,Y,N,N,N,N,95,1
q17_3,N,N,Y,N,N,N,N,95,1
q23e,N,Y,N,N,N,N,N,91_2,1
q23f,N,Y,N,N,N,N,N,91_2,1
q5_1,N,N,Y,N,N,N,N,95,1
q5_3,N,N,Y,N,N,N,N,95,1
q163_8,N,N,Y,N,N,N,N,95,1
q5_4,N,N,Y,N,N,N,N,95,1
q5_5,N,N,Y,N,N,N,N,95,1
q61,N,N,Y,N,N,N,N,95,1
q62,N,N,Y,N,N,N,N,95,1
q63,N,N,Y,N,N,N,N,95,1
q64,N,N,Y,N,N,N,N,95,1
q7,N,N,Y,N,N,N,N,95,1
q163_9,N,N,Y,N,N,N,N,95,1
q163_7,N,N,Y,N,N,N,N,95,1
q13_3,N,N,Y,N,N,N,N,95,1
q162_5,N,N,Y,N,N,N,N,95,1
q13_5,N,N,Y,N,N,N,N,95,1
q13_6,N,N,Y,N,N,N,N,95,1
q161,N,N,Y,N,N,N,N,95,1
q162_1,N,N,Y,N,N,N,N,95,1
q162_2,N,N,Y,N,N,N,N,95,1
q162_3,N,N,Y,N,N,N,N,95,1
q162_4,N,N,Y,N,N,N,N,95,1
q163_1,N,N,Y,N,N,N,N,95,1
q163_6,N,N,Y,N,N,N,N,95,1
q163_10,N,N,Y,N,N,N,N,95,1
q163_11,N,N,Y,N,N,N,N,95,1
q163_12,N,N,Y,N,N,N,N,95,1
q163_2,N,N,Y,N,N,N,N,95,1
q163_3,N,N,Y,N,N,N,N,95,1
q163_4,N,N,Y,N,N,N,N,95,1
q163_5,N,N,Y,N,N,N,N,95,1
q81,N,N,Y,N,N,N,N,95,1
q82,N,N,Y,N,N,N,N,95,1
q91,N,N,Y,N,N,N,N,95,1
s31_8,N,N,Y,N,N,N,N,95,1
s31_24,N,N,Y,N,N,N,N,95,1
s31_25,N,N,Y,N,N,N,N,95,1
s31_3,N,N,Y,N,N,N,N,95,1
s31_4,N,N,Y,N,N,N,N,95,1
s31_5,N,N,Y,N,N,N,N,95,1
s31_6,N,N,Y,N,N,N,N,95,1
s31_7,N,N,Y,N,N,N,N,95,1
s31_9,N,N,Y,N,N,N,N,95,1
q92,N,N,Y,N,N,N,N,95,1
sex,N,N,N,Y,N,N,N,99,1
start,N,N,N,Y,N,N,N,99,1
type,N,N,N,Y,N,N,N,99,1
w2,N,N,N,N,Y,N,N,103,1
w_b,N,Y,N,N,N,N,N,91_2,1
w_c,Y,N,N,N,N,N,N,91_1,1
w_d,Y,N,N,N,N,N,N,91_1,1
s31_23,N,N,Y,N,N,N,N,95,1
s31_22,N,N,Y,N,N,N,N,95,1
s31_21,N,N,Y,N,N,N,N,95,1
s31_20,N,N,Y,N,N,N,N,95,1
s1,N,N,Y,N,N,N,N,95,1
s2,N,N,Y,N,N,N,N,95,1
s3,N,N,Y,N,N,N,N,95,1
s31_1,N,N,Y,N,N,N,N,95,1
s31_10,N,N,Y,N,N,N,N,95,1
s31_11,N,N,Y,N,N,N,N,95,1
s31_12,N,N,Y,N,N,N,N,95,1
s31_13,N,N,Y,N,N,N,N,95,1
s31_14,N,N,Y,N,N,N,N,95,1
s31_15,N,N,Y,N,N,N,N,95,1
s31_16,N,N,Y,N,N,N,N,95,1
s31_17,N,N,Y,N,N,N,N,95,1
s31_18,N,N,Y,N,N,N,N,95,1
s31_19,N,N,Y,N,N,N,N,95,1
s31_2,N,N,Y,N,N,N,N,95,1
q13_4,N,N,Y,N,N,N,N,95,1
q13_2,N,N,Y,N,N,N,N,95,1
