sample_definition,survey_year,variable,valid_n,missing_n,missing_pct,mean,median,sd,min,max
full_sample,2021,EXP_EDU_TUITION_EXPENDITURE,5409,0,0,1765.3910149750416,0,4367.370380227939,0,35000
full_sample,2021,EXP_FOOD_EXPENDITURE,5409,0,0,12191.255315215381,11000,9031.046430276803,1500,75000
full_sample,2021,EXP_FURNITURE_EXPENDITURE,5409,0,0,1386.4854871510445,500,3869.31253949741,0,35000
full_sample,2021,EXP_HOUSING_UTIL_EXPENDITURE,5409,0,0,5279.903863930486,2750,6805.846399974516,0,75000
full_sample,2021,EXP_LOAN_INTEREST_EXPENDITURE,5409,0,0,1945.553706784988,0,5665.3013135333595,0,35000
full_sample,2021,EXP_MEDICAL_EXPENDITURE,5409,0,0,2650.351266407839,750,4415.069870612232,0,35000
full_sample,2021,EXP_OTHER_EXPENDITURE,5409,0,0,877.6113884266963,0,1998.912367870711,0,35000
full_sample,2021,EXP_TAX_INS_GIFT_EXPENDITURE,5409,0,0,4154.326123128119,2750,4425.456378546391,0,35000
full_sample,2021,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,5409,0,0,45568.68182658532,39500,30610.714303920926,1750,244000
full_sample,2021,EXP_TOTAL_DERIVED_EXPENDITURE,5409,0,0,45568.68182658532,39500,30610.714303920926,1750,244000
full_sample,2021,EXP_TRANSPORT_COMM_EXPENDITURE,5409,0,0,6025.328156775744,4500,5440.150259426742,0,35000
full_sample,2021,EXP_TRAVEL_EXPENDITURE,5409,0,0,571.1776668515437,0,2018.3421395497353,0,35000
full_sample,2021,INC_FAM_GOV_INCOME,5409,0,0,3485.85690515807,500,5123.04530578364,0,35000
full_sample,2021,INC_FAM_INTEREST_INCOME,5409,0,0,509.1514143094842,0,2092.1493596850846,0,35000
full_sample,2021,INC_FAM_OTHER_INCOME,5409,0,0,805.6017748197448,0,5519.780866887597,0,75000
full_sample,2021,INC_FAM_RENT_INCOME,5409,0,0,531.9837308190054,0,4403.9714210973,0,85000
full_sample,2021,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,5409,0,0,62706.507672397856,55000,39295.437911168956,0,295000
full_sample,2021,INC_FAM_TOTAL_DERIVED_INCOME,5409,0,0,62706.507672397856,55000,39295.437911168956,0,295000
full_sample,2021,INC_FAM_TRANSFER_INCOME,5409,0,0,302.3664263264929,0,1687.396156663718,0,35000
full_sample,2021,INC_FAM_WORK_INCOME,5409,0,0,57071.54742096506,55000,38553.52776077763,0,175000
full_sample,2021,INC_PERS_GOV_INCOME,5409,0,0,1702.347938620817,0,3622.583365583561,0,35000
full_sample,2021,INC_PERS_INTEREST_INCOME,5409,0,0,328.71140691440195,0,1610.457866926017,0,35000
full_sample,2021,INC_PERS_OTHER_INCOME,5409,0,0,342.94694028471065,0,2929.5801086083434,0,75000
full_sample,2021,INC_PERS_RENT_INCOME,5409,0,0,335.5518580144204,0,3477.2871814572477,0,85000
full_sample,2021,INC_PERS_TRANSFER_INCOME,5409,0,0,191.16287668700315,0,1359.0955910907064,0,35000
full_sample,2021,INC_PERS_WORK_INCOME,5409,0,0,31687.92752819375,27500,23324.450617541486,0,175000
indigenous_analysis_sample,2002,EXP_ALCOHOL_EXPENDITURE,7836,5277,0.4024250743536948,2151.492598264421,2000,1762.8505603409885,500,8500
indigenous_analysis_sample,2002,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,3901,9212,0.7025089605734767,2631.9489874391184,2000,2342.959980553226,500,8500
indigenous_analysis_sample,2002,EXP_FOOD_EXPENDITURE,12884,229,0.01746358575459468,16817.56442098727,15000,9186.81306879074,4000,45000
indigenous_analysis_sample,2002,EXP_MEDICAL_EXPENDITURE,11688,1425,0.10867078471745596,2336.0293463381245,2000,2097.993119883903,500,8500
indigenous_analysis_sample,2002,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,1125,11988,0.9142072752230611,34394.02311111111,34500,11571.97726668504,8000,69501
indigenous_analysis_sample,2002,EXP_TOTAL_DERIVED_EXPENDITURE,13091,22,0.0016777243956379165,24240.926056069056,23000,12147.534701441331,500,69501
indigenous_analysis_sample,2002,EXP_TOTAL_REPORTED_EXPENDITURE,13097,16,0.0012201631968275757,26327.505841032296,25000,15629.614083633487,10000,75000
indigenous_analysis_sample,2002,EXP_TRANSPORT_COMM_EXPENDITURE,12938,175,0.013345534965301609,3202.2784819910344,2000,2300.743396294264,500,8500
indigenous_analysis_sample,2002,EXP_TRAVEL_EXPENDITURE,2256,10857,0.8279569892473119,2127.4574468085107,2000,1875.1459272012105,500,8500
indigenous_analysis_sample,2002,INC_FAM_GOV_INCOME,4726,8387,0.6395942957370548,4506.354845535337,3000,2784.350759540406,1000,25000
indigenous_analysis_sample,2002,INC_FAM_OTHER_INCOME,3169,9944,0.7583314268283383,12884.684758598927,7500,15770.093836852378,2500,55000
indigenous_analysis_sample,2002,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,1025,12088,0.9218332952032334,35973.07219512195,28000,22584.155481988397,13500,170000
indigenous_analysis_sample,2002,INC_FAM_TOTAL_DERIVED_INCOME,12945,168,0.012811713566689545,36844.33055233681,30000,25812.779033761748,1000,170000
indigenous_analysis_sample,2002,INC_FAM_TOTAL_REPORTED_INCOME,13113,0,0,35226.9987798368,30000,25660.98079136494,10000,135000
