sample_definition,Survey Year,County,Sample N
full_sample,2006,福興鄉,1
full_sample,2006,秀林鄉,140
full_sample,2006,竹北市,1
full_sample,2006,竹南鎮,2
full_sample,2006,竹東鎮,31
full_sample,2006,綠島鄉,2
full_sample,2006,羅東鎮,8
full_sample,2006,臺東市,251
full_sample,2006,芎林鄉,2
full_sample,2006,花壇鄉,30
full_sample,2006,花蓮市,63
full_sample,2006,苑裡鎮,3
full_sample,2006,苓雅區,9
full_sample,2006,苗栗市,6
full_sample,2006,茂林鄉,47
full_sample,2006,草屯鎮,5
full_sample,2006,莒光鄉,1
full_sample,2006,萬丹鄉,3
full_sample,2006,萬巒鄉,5
full_sample,2006,萬榮鄉,66
full_sample,2006,萬華區,24
full_sample,2006,蘆洲鄉,11
full_sample,2006,蘆竹鄉,11
full_sample,2006,蘇澳鎮,8
full_sample,2006,蘭嶼鄉,49
full_sample,2006,虎尾鎮,1
full_sample,2006,褒忠鄉,1
full_sample,2006,西區,2
full_sample,2006,西屯區,3
full_sample,2006,觀音鄉,6
full_sample,2006,豐原市,3
full_sample,2006,豐濱鄉,67
full_sample,2006,貢寮鄉,1
full_sample,2006,車城鄉,4
full_sample,2006,通霄鎮,2
full_sample,2006,造橋鄉,1
full_sample,2006,達仁鄉,92
full_sample,2006,金寧鎮,1
full_sample,2006,金峰鄉,113
full_sample,2006,金沙鎮,1
full_sample,2006,金湖鎮,1
full_sample,2006,銅鑼鄉,1
full_sample,2006,長治鄉,4
full_sample,2006,長濱鄉,112
full_sample,2006,關山鎮,55
full_sample,2006,關西鎮,2
full_sample,2006,阿里山,30
full_sample,2006,集集鎮,1
full_sample,2006,霧峰鄉,1
full_sample,2006,霧臺鄉,29
full_sample,2006,頭份鎮,7
full_sample,2006,香山區,1
full_sample,2006,馬公市,1
full_sample,2006,魚池鄉,9
full_sample,2006,鳳山市,40
full_sample,2006,鳳林鎮,31
full_sample,2006,鶯歌鎮,7
full_sample,2006,鹽埔鄉,1
full_sample,2006,鹽埕區,4
full_sample,2006,鹽水鎮,1
full_sample,2006,鹿港鎮,1
full_sample,2006,鹿野鄉,52
full_sample,2006,麥寮鄉,16
full_sample,2006,鼓山區,3
full_sample,2006,龍井鄉,6
full_sample,2006,龍潭鄉,9
full_sample,2006,龜山鄉,14
full_sample,2010,七堵區,18
full_sample,2010,三地門鄉,58
full_sample,2010,三峽鎮,52
full_sample,2010,三民區,17
full_sample,2010,三重市,11
full_sample,2010,中區,1
full_sample,2010,中和市,8
full_sample,2010,中埔鄉,10
full_sample,2010,中壢市,95
full_sample,2010,中山區,20
full_sample,2010,中正區,55
full_sample,2010,中西區,1
full_sample,2010,五峰鄉,39
full_sample,2010,五結鄉,26
full_sample,2010,五股鄉,2
full_sample,2010,仁德鄉,14
full_sample,2010,仁愛區,2
full_sample,2010,仁愛鄉,107
full_sample,2010,來義鄉,46
full_sample,2010,信義區,13
full_sample,2010,信義鄉,63
full_sample,2010,光復鄉,64
full_sample,2010,內埔鄉,24
full_sample,2010,內湖區,21
full_sample,2010,八德市,54
full_sample,2010,公館鄉,16
full_sample,2010,六龜鄉,7
full_sample,2010,前金區,3
full_sample,2010,前鎮區,19
full_sample,2010,北區,44
full_sample,2010,北屯區,22
full_sample,2010,北投區,17
full_sample,2010,卑南鄉,61
full_sample,2010,卓溪鄉,43
full_sample,2010,南區,15
full_sample,2010,南屯區,6
full_sample,2010,南庄鄉,32
full_sample,2010,南投市,4
full_sample,2010,南港區,18
full_sample,2010,南澳鄉,43
full_sample,2010,吉安鄉,152
full_sample,2010,和平鄉,41
full_sample,2010,和美鎮,26
full_sample,2010,土城市,80
full_sample,2010,埔里鎮,41
full_sample,2010,士林區,12
full_sample,2010,壽豐鄉,54
full_sample,2010,大同區,10
full_sample,2010,大同鄉,34
full_sample,2010,大園鄉,10
full_sample,2010,大安區,9
full_sample,2010,大寮鄉,3
full_sample,2010,大林鎮,5
full_sample,2010,大武鄉,44
full_sample,2010,大溪鎮,62
full_sample,2010,大肚鄉,12
full_sample,2010,大里市,17
full_sample,2010,大雅鄉,13
full_sample,2010,太麻里鄉,52
full_sample,2010,安南區,12
full_sample,2010,安平區,2
full_sample,2010,安樂區,10
full_sample,2010,宜蘭市,8
full_sample,2010,富里鄉,20
full_sample,2010,小港區,27
full_sample,2010,尖石鄉,53
