ID,SOURCE_ID,SURVEY_TAG,DATA_Y
110::3357861,3357861,110,2021
110::3358133,3358133,110,2021
110::3358645,3358645,110,2021
110::3359017,3359017,110,2021
110::3359370,3359370,110,2021
110::3359482,3359482,110,2021
110::3359508,3359508,110,2021
110::3359785,3359785,110,2021
110::3359903,3359903,110,2021
110::3365103,3365103,110,2021
110::3365870,3365870,110,2021
110::3365888,3365888,110,2021
110::3366062,3366062,110,2021
110::3366514,3366514,110,2021
110::3366747,3366747,110,2021
110::3366909,3366909,110,2021
110::3366920,3366920,110,2021
110::3366969,3366969,110,2021
110::3367088,3367088,110,2021
110::3367101,3367101,110,2021
110::3367426,3367426,110,2021
110::3367990,3367990,110,2021
110::3368058,3368058,110,2021
110::3368092,3368092,110,2021
110::3368098,3368098,110,2021
110::3368113,3368113,110,2021
110::3368256,3368256,110,2021
110::3368319,3368319,110,2021
110::3368625,3368625,110,2021
110::3372508,3372508,110,2021
110::3372683,3372683,110,2021
110::3372875,3372875,110,2021
110::3373394,3373394,110,2021
110::3373559,3373559,110,2021
110::3373787,3373787,110,2021
110::4330043,4330043,110,2021
110::4330460,4330460,110,2021
110::4330930,4330930,110,2021
110::4331655,4331655,110,2021
110::4331683,4331683,110,2021
110::4332654,4332654,110,2021
110::4332969,4332969,110,2021
110::4333216,4333216,110,2021
110::4334066,4334066,110,2021
110::4334508,4334508,110,2021
110::4334631,4334631,110,2021
110::4334643,4334643,110,2021
110::4334766,4334766,110,2021
110::4335583,4335583,110,2021
110::4336050,4336050,110,2021
110::4336219,4336219,110,2021
110::4336512,4336512,110,2021
110::4336537,4336537,110,2021
110::4337298,4337298,110,2021
110::4337507,4337507,110,2021
110::4337726,4337726,110,2021
110::4338671,4338671,110,2021
110::4339198,4339198,110,2021
110::4339596,4339596,110,2021
110::4339989,4339989,110,2021
110::4340257,4340257,110,2021
110::4340801,4340801,110,2021
110::4341269,4341269,110,2021
110::4341273,4341273,110,2021
110::4342958,4342958,110,2021
110::4342989,4342989,110,2021
110::4343189,4343189,110,2021
110::4343402,4343402,110,2021
110::4343530,4343530,110,2021
110::4344182,4344182,110,2021
110::4344356,4344356,110,2021
110::4348090,4348090,110,2021
110::4348881,4348881,110,2021
110::4348949,4348949,110,2021
110::4348985,4348985,110,2021
110::4350041,4350041,110,2021
110::4350270,4350270,110,2021
110::4352672,4352672,110,2021
110::4352922,4352922,110,2021
110::4353245,4353245,110,2021
110::4353708,4353708,110,2021
110::4353933,4353933,110,2021
110::4354284,4354284,110,2021
110::4354326,4354326,110,2021
110::4355027,4355027,110,2021
110::4355078,4355078,110,2021
110::4355604,4355604,110,2021
110::4355979,4355979,110,2021
110::4356063,4356063,110,2021
110::4357044,4357044,110,2021
110::4357934,4357934,110,2021
