year,source_pdf,question_id,question_text,option_code,option_text
91_1,ques91-1.pdf,23,請問您每個月家庭平均支出是多少？,7,7萬元至未滿8萬
91_1,ques91-1.pdf,23,請問您每個月家庭平均支出是多少？,8,8萬元以上（請記錄　　元）
91_1,ques91-1.pdf,23-1,食品消費是多少？（日常生活吃的部分，但不包括酒、茶、檳榔）,1,未滿3千元
91_1,ques91-1.pdf,23-1,食品消費是多少？（日常生活吃的部分，但不包括酒、茶、檳榔）,2,3千至未滿5千元
91_1,ques91-1.pdf,23-1,食品消費是多少？（日常生活吃的部分，但不包括酒、茶、檳榔）,3,5千至未滿1萬元
91_1,ques91-1.pdf,23-1,食品消費是多少？（日常生活吃的部分，但不包括酒、茶、檳榔）,4,1萬至未滿2萬元
91_1,ques91-1.pdf,23-1,食品消費是多少？（日常生活吃的部分，但不包括酒、茶、檳榔）,5,2萬元至未滿3萬元
91_1,ques91-1.pdf,23-1,食品消費是多少？（日常生活吃的部分，但不包括酒、茶、檳榔）,6,3萬元至未滿4萬元
91_1,ques91-1.pdf,23-1,食品消費是多少？（日常生活吃的部分，但不包括酒、茶、檳榔）,7,4萬元至未滿5萬元
91_1,ques91-1.pdf,23-1,食品消費是多少？（日常生活吃的部分，但不包括酒、茶、檳榔）,8,5萬元以上（請記錄　　元）
91_1,ques91-1.pdf,23-2,酒、茶、檳榔等消費是多少？,1,未滿1千
91_1,ques91-1.pdf,23-2,酒、茶、檳榔等消費是多少？,2,1千至未滿3千元
91_1,ques91-1.pdf,23-2,酒、茶、檳榔等消費是多少？,3,3千至未滿5千元
91_1,ques91-1.pdf,23-2,酒、茶、檳榔等消費是多少？,4,5千至未滿 7千元
91_1,ques91-1.pdf,23-2,酒、茶、檳榔等消費是多少？,5,7千元至未滿1萬元
91_1,ques91-1.pdf,23-2,酒、茶、檳榔等消費是多少？,6,1萬元以上（請記錄　　元）
91_1,ques91-1.pdf,23-2,酒、茶、檳榔等消費是多少？,7,無
91_1,ques91-1.pdf,23-3,醫療保健費用是多少？（包括看病的掛號或藥費及個人買的醫療保險費，但不包括勞保費、健保費）,1,未滿1千
91_1,ques91-1.pdf,23-3,醫療保健費用是多少？（包括看病的掛號或藥費及個人買的醫療保險費，但不包括勞保費、健保費）,2,1千至未滿3千元
91_1,ques91-1.pdf,23-3,醫療保健費用是多少？（包括看病的掛號或藥費及個人買的醫療保險費，但不包括勞保費、健保費）,3,3千至未滿5千元
91_1,ques91-1.pdf,23-3,醫療保健費用是多少？（包括看病的掛號或藥費及個人買的醫療保險費，但不包括勞保費、健保費）,4,5千至未滿 7千元
91_1,ques91-1.pdf,23-3,醫療保健費用是多少？（包括看病的掛號或藥費及個人買的醫療保險費，但不包括勞保費、健保費）,5,7千元至未滿1萬元
91_1,ques91-1.pdf,23-3,醫療保健費用是多少？（包括看病的掛號或藥費及個人買的醫療保險費，但不包括勞保費、健保費）,6,1萬元以上（請記錄　　元）
