data_year,integrated_var,harmonized_code,harmonized_label,frequency
2010,EXP_CLEANING,3,"2,000-2,999 元",23
2010,EXP_CLEANING,4,"3,000-3,999 元",6
2010,EXP_CLEANING,5,"4,000-4,999 元",3
2010,EXP_CLEANING,6,"5,000-6,999 元",2
2010,EXP_CLEANING,9,"15,000-19,999 元",6
2010,EXP_CLEANING,10,"20,000-29,999 元",3
2010,EXP_CLEANING,11,"30,000 元及以上，請記錄________元",7
2010,EXP_CLEANING,NA,NA,7
2010,EXP_CLOTHING,0,沒有這項支出,1663
2010,EXP_CLOTHING,NA,1000 - 1999元,882
2010,EXP_CLOTHING,NA,10000 - 14999元,33
2010,EXP_CLOTHING,NA,15000 - 19999元,10
2010,EXP_CLOTHING,NA,2000 - 2999元,559
2010,EXP_CLOTHING,NA,20000 - 29999元,1
2010,EXP_CLOTHING,NA,3000 - 3999元,211
2010,EXP_CLOTHING,NA,30000 元及以上,11
2010,EXP_CLOTHING,NA,4000 - 4999元,97
2010,EXP_CLOTHING,NA,5000 - 6999元,93
2010,EXP_CLOTHING,NA,7000 - 9999元,22
2010,EXP_CLOTHING,NA,999 元及以下,1440
2010,EXP_CLOTHING,NA,未回答,5
2010,EXP_DINING_LODGING,NA,NA,5027
2010,EXP_EDU_BOOKS_COMBINED,0,沒有這項支出,2846
2010,EXP_EDU_BOOKS_COMBINED,NA,1000 - 1999元,495
2010,EXP_EDU_BOOKS_COMBINED,NA,10000 - 14999元,119
