Survey Year,sample_definition,Variable,Category,Count,Percentage,Missing N,Missing %
2006,full_sample,EXP_FURNITURE_EXPENDITURE,"3,000-3,999元",104,0.01729585897222684,0,0
2006,full_sample,EXP_FURNITURE_EXPENDITURE,33000,1,1.6630633627141194e-4,0,0
2006,full_sample,EXP_FURNITURE_EXPENDITURE,"4,000-4,999元",92,0.015300182936969898,0,0
2006,full_sample,EXP_FURNITURE_EXPENDITURE,"5,000-6,999元",19,0.003159820389156827,0,0
2006,full_sample,EXP_FURNITURE_EXPENDITURE,"7,000-9,999元",26,0.00432396474305671,0,0
2006,full_sample,EXP_FURNITURE_EXPENDITURE,999元及以下,943,0.15682687510394147,0,0
2006,full_sample,EXP_FURNITURE_EXPENDITURE,不知道/拒答,323,0.053716946615666054,0,0
2006,full_sample,EXP_FURNITURE_EXPENDITURE,沒有這項支出,3872,0.643938134042907,0,0
2006,full_sample,EXP_HOUSING_UTIL_EXPENDITURE,"10,000-14,999 元",379,0.06766648812712016,412,0.06851821054382172
2006,full_sample,EXP_HOUSING_UTIL_EXPENDITURE,"15,000-19,999 元",101,0.01803249419746474,412,0.06851821054382172
2006,full_sample,EXP_HOUSING_UTIL_EXPENDITURE,"20,000-29,999 元",73,0.013033386895197287,412,0.06851821054382172
2006,full_sample,EXP_HOUSING_UTIL_EXPENDITURE,"3,000-4,999 元",1293,0.23085163363685057,412,0.06851821054382172
2006,full_sample,EXP_HOUSING_UTIL_EXPENDITURE,"30,000-39,999 元",9,0.0016068559185859668,412,0.06851821054382172
2006,full_sample,EXP_HOUSING_UTIL_EXPENDITURE,"40,000-49,999 元",4,7.141581860382074e-4,412,0.06851821054382172
2006,full_sample,EXP_HOUSING_UTIL_EXPENDITURE,"5,000-9,999 元",893,0.1594358150330298,412,0.06851821054382172
2006,full_sample,EXP_HOUSING_UTIL_EXPENDITURE,"50,000-59,999 元",2,3.570790930191037e-4,412,0.06851821054382172
2006,full_sample,EXP_HOUSING_UTIL_EXPENDITURE,999 元及以下,2796,0.499196572040707,412,0.06851821054382172
2006,full_sample,EXP_HOUSING_UTIL_EXPENDITURE,沒有這項支出,51,0.009105516871987145,412,0.06851821054382172
2006,full_sample,EXP_LOAN_INTEREST_EXPENDITURE,"1,000-1,999元",37,0.006153334442042242,0,0
2006,full_sample,EXP_LOAN_INTEREST_EXPENDITURE,"10,000-14,999元",341,0.05671046066855147,0,0
2006,full_sample,EXP_LOAN_INTEREST_EXPENDITURE,"15,000-19,999元",158,0.026276401130883087,0,0
2006,full_sample,EXP_LOAN_INTEREST_EXPENDITURE,"2,000-2,999元",134,0.0222850490603692,0,0
2006,full_sample,EXP_LOAN_INTEREST_EXPENDITURE,"20,000-29,999元",127,0.021120904706469316,0,0
2006,full_sample,EXP_LOAN_INTEREST_EXPENDITURE,"3,000-3,999元",225,0.037418925661067685,0,0
2006,full_sample,EXP_LOAN_INTEREST_EXPENDITURE,"30,000元及以上，請記錄____元",8,0.0013304506901712955,0,0
2006,full_sample,EXP_LOAN_INTEREST_EXPENDITURE,30000,4,6.652253450856477e-4,0,0
2006,full_sample,EXP_LOAN_INTEREST_EXPENDITURE,"4,000-4,999元",105,0.017462165308498253,0,0
2006,full_sample,EXP_LOAN_INTEREST_EXPENDITURE,"5,000-6,999元",186,0.03093297854648262,0,0
2006,full_sample,EXP_LOAN_INTEREST_EXPENDITURE,"7,000-9,999元",854,0.1420256111757858,0,0
2006,full_sample,EXP_LOAN_INTEREST_EXPENDITURE,999元及以下,39,0.006485947114585066,0,0
2006,full_sample,EXP_LOAN_INTEREST_EXPENDITURE,不知道/拒答,206,0.03425910527191086,0,0
2006,full_sample,EXP_LOAN_INTEREST_EXPENDITURE,沒有這項支出,3589,0.5968734408780975,0,0
