ID,DATA_Y
7287876,2021
7287983,2021
7287998,2021
7288086,2021
7288460,2021
7291761,2021
7292276,2021
7292609,2021
7292612,2021
7296203,2021
7296279,2021
7296370,2021
7296483,2021
7297122,2021
7297363,2021
7297863,2021
7297912,2021
7297949,2021
7298010,2021
7298099,2021
7298141,2021
7298166,2021
7298252,2021
7298488,2021
7298553,2021
7298625,2021
7298877,2021
7298913,2021
7299024,2021
8287722,2021
8287866,2021
8287960,2021
8288253,2021
8288327,2021
8288352,2021
8288504,2021
8291989,2021
8292126,2021
8292272,2021
8296565,2021
8296918,2021
8296967,2021
8297427,2021
8297812,2021
8298060,2021
8298162,2021
8298349,2021
8298383,2021
8298414,2021
8298592,2021
8298844,2021
9287690,2021
9287725,2021
9287814,2021
9287916,2021
9288054,2021
9288478,2021
9288550,2021
9292266,2021
9292691,2021
9295816,2021
9295956,2021
9296205,2021
9296621,2021
9296633,2021
9296988,2021
9297428,2021
9297821,2021
9298316,2021
9298442,2021
9298480,2021
9298567,2021
9298593,2021
9298661,2021
9298712,2021
9298992,2021
1410194,2021
1410404,2021
1410971,2021
1411017,2021
1411421,2021
1411571,2021
1411633,2021
1411644,2021
1411991,2021
1412003,2021
1412165,2021
1412387,2021
1412475,2021
1412587,2021
1412860,2021
1412879,2021
1413554,2021
1413650,2021
1414123,2021
1414223,2021
1416261,2021
1416755,2021
1416859,2021
1417200,2021
1417449,2021
1417715,2021
1418816,2021
1420775,2021
1421205,2021
1421359,2021
1422340,2021
1422532,2021
1422889,2021
1423006,2021
1423722,2021
1423833,2021
1423970,2021
1424228,2021
1424557,2021
1424925,2021
1425251,2021
1425725,2021
1426839,2021
1427276,2021
1427812,2021
1428223,2021
1428605,2021
1428785,2021
1430567,2021
1433001,2021
1440417,2021
1446229,2021
1447080,2021
1447445,2021
1447950,2021
1448041,2021
1448141,2021
1448796,2021
1449299,2021
1449372,2021
1449518,2021
1449528,2021
1449617,2021
1449711,2021
1449731,2021
1450254,2021
1450274,2021
1450729,2021
1451234,2021
1451726,2021
1451845,2021
1451907,2021
1452020,2021
1455685,2021
1456155,2021
1456194,2021
1456421,2021
1456817,2021
1456837,2021
1457634,2021
1458412,2021
1459152,2021
